SCHOOL_DISTRICT_CODE,SCHOOL_DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SCHOOL_CITY,SCHOOL_POSTAL_CODE
1175,The Pembina Hills School Division,2303,Barrhead Elementary School,Barrhead,T7N1N9
1175,The Pembina Hills School Division,2314,Ft Assiniboine ECS Centre,Fort Assiniboine,T0G1A0
0359,Columbia College Children�s Services,2324,Columbia Academy,,
0361,Learning Potential Foundation,2329,Learning Potential,Airdrie,T4B0V4
4211,Holy Family Catholic Separate Regional Division No. 17,2331,Created in Error,,
0339,Kee Tas Kee Now Tribal Council Education Authority,2365,KTCEA Outreach School,Atikameg,T0G0C0
0377,Sreekumar Education Foundation,2369,Canadian International Private School,Edmonton,T6L4H7
0110,The Edmonton Catholic Separate School Division,2383,Cardinal Collins Catholic Academic Centre - Mill Woods,Edmonton,T6K2N2
1175,The Pembina Hills School Division,2401,Busby School,Busby,T0G0H0
9211,Koinonia Christian School - Red Deer Society,2447,Emmaus Learning Community - DSEPS,Red Deer,T4N4S9
0370,STEM Innovation Academy Society,2449,STEM Innovation Academy High School,Calgary,T2L1Y1
2473,Thrive Charter School Society,2474,Thrive Charter School,Edmonton,T5S0B9
4077,The Greater St. Albert Roman Catholic Separate School Division,2535,Legal School,Legal,T0G1L0
7020,The Board of Trustees of St. Albert Public Schools,2545,Lorne Akins Junior High School,St. Albert,T8N2G1
7020,The Board of Trustees of St. Albert Public Schools,2546,Ronald Harvey Elementary,St. Albert,T8N1S4
7020,The Board of Trustees of St. Albert Public Schools,2557,Muriel Martin Elementary School,St. Albert,T8N5Z3
9267,Ft. McMurray #468 First Nation,2595,Seapotakinum School,Fort McMurray,T9H4W1
1245,The Northern Lights School Division,2713,Plamondon ECS (Old Convent),,
1245,The Northern Lights School Division,2719,Lac La Biche Outreach,Lac La Biche,T0A2C0
1245,The Northern Lights School Division,2907,North Star Elementary School,Cold Lake,T9M1S9
1245,The Northern Lights School Division,2909,Cold Lake Junior High School,Cold Lake,T9M1V7
1245,The Northern Lights School Division,2914,Kiddies Corner Playschool,,
4105,The Lakeland Roman Catholic Separate School Division,2975,Old Notre Dame Elementary School,,
2115,The Wetaskiwin School Division,3107,Lakedell School,Westerose,T0C2V0
2115,The Wetaskiwin School Division,3109,Pipestone School,Millet,T0C1Z0
2115,The Wetaskiwin School Division,3110,Rosebrier Community School,Wetaskiwin,T9A1W9
2245,The Black Gold School Division,3234,Ecole Coloniale Estates School,Beaumont,T4X1M7
0020,The St. Thomas Aquinas Roman Catholic Separate School Division,3271,St. Benedict School,Leduc,T9E7K1
2195,The Elk Island School Division,3311,Fort Saskatchewan High School,Fort Saskatchewan,T8L1R2
2195,The Elk Island School Division,3312,Fort Saskatchewan Junior High,Fort Saskatchewan,T8L1W5
2195,The Elk Island School Division,3343,Alberta Accredited School,Sherwood Park,T8A0Z9
0156,The Government of Canada as represented by Correctional Service Canada,3399,Manning Adult Learning Centre,Edmonton,T5K0K5
2195,The Elk Island School Division,3691,Dr R R Cairns School,,
1155,Buffalo Trail Public Schools,3909,Wainwright High School,Wainwright,T9W2R5
4330,The East Central Alberta Catholic Separate School Division,3970,Blessed Sacrament School,Wainwright,T9W2R7
0054,The Wolf Creek School Division,4214,Ponoka Composite Evening,Ponoka,T4J1N9
0054,The Wolf Creek School Division,4302,Bentley School,Bentley,T0C0J0
0054,The Wolf Creek School Division,4305,Clive School,Clive,T0C0Y0
0053,The Chinook's Edge School Division,4404,Elnora School,Elnora,T0M0Y0
0053,The Chinook's Edge School Division,4414,Jessie Duncan Elementary School,Penhold,T0M1R0
3070,The Red Deer School Division,4432,Red Deer School District Home Education,Red Deer,T4N3P7
3070,The Red Deer School Division,4460,Pines Community School,Red Deer,T4P2T2
0052,The Clearview School Division,4821,Brownfield Community School,Brownfield,T0C0R0
0052,The Clearview School Division,4822,Gus Wetter School,Castor,T0C0X0
9270,Airdrie Christian Academy Society,5197,Airdrie Christian Academy,Airdrie,T4B0J6
1190,The Rocky View School Division,5213,Indus School,Indus,T1X0H7
1190,The Rocky View School Division,5224,Elizabeth Barrett Elementary School,Cochrane,T4C1Y5
4010,The Calgary Roman Catholic Separate School Division,5270,Our Lady Queen of Peace Elementary School,Airdrie,T4B2E6
1180,The Foothills School Division,5305,Spitzee Elementary School,High River,T1V1B4
1180,The Foothills School Division,5314,Cayley Colony School,Cayley,T0L0P0
1180,The Foothills School Division,5316,Right Honorable Joe Clark School,High River,T1V1L2
1180,The Foothills School Division,5319,Foothills Composite High School,Okotoks,T1S2A7
1180,The Foothills School Division,5320,Foothills Continuing Education,High River,T1V1M3
1180,The Foothills School Division,5391,Stampede Ranch School,Longview,T0L1H0
2255,The Palliser School Division,5401,Arrowwood Community School,Arrowwood,T0L0B0
1045,The Horizon School Division,5405,Lomond Community School,Lomond,T0L1G0
1245,The Northern Lights School Division,5470,Mossleigh Demonstration School,Mossleigh,T0L1P0
2155,The Golden Hills School Division,5505,Level Land School,,
2155,The Golden Hills School Division,5508,Standard School,Standard,T0J3G0
2155,The Golden Hills School Division,5510,Westmount School,Strathmore,T1P1B2
2155,The Golden Hills School Division,5511,Sayre School,Strathmore,T1P1J4
2155,The Golden Hills School Division,5514,Rosebud River School,Strathmore,T1P1J4
2155,The Golden Hills School Division,5520,Poplar Row School,Strathmore,T1P1J4
2155,The Golden Hills School Division,5522,Rosebud Creek School,Strathmore,T1P1J4
2155,The Golden Hills School Division,5524,Glamis School,Strathmore,T1P1J4
2155,The Golden Hills School Division,5526,Drumheller Outreach,Drumheller,T0J0Y1
2155,The Golden Hills School Division,5603,Church Hill School,,
2155,The Golden Hills School Division,5691,Prairie Christian Academy,Three Hills,T0M2A0
1115,The Prairie Land School Division,5706,Munson School,,
9039,Muriel Rowe Sch Special Ed,5791,Muriel Rowe School Special Ed,,
9159,Kneehill Christian School,5792,Kneehill Christian School,Linden,T0M1J0
9709,City of Medicine Hat,0896,Riverside Elementary School ECS,,
9718,Acorn Circle Kind Association,0911,Raymond Elementary School,Raymond,T0K2S0
9652,Family Life Ed Council,0932,Huntington Hills O N C,,
1030,Cypress School Division #4,0982,Peace United Church ECS,,
9785,Willow Park Christ Assoc,0990,Acadia Elementary ECS School,,
9000,Other Schools,1043,Alberta Learning - Self Registrations,Edmonton,T5J5E6
3070,The Red Deer School Division,1063,Mattie McCullough Elementary School,Red Deer,T4R3L6
0177,The Peace Wapiti School Division,1115,Hythe Regional School,Hythe,T0H2C0
1110,The Sturgeon Public School Division,1160,Redwater Learning Centre,Redwater,T0A2W0
9342,Inner City Youth Development Association,1163,Inner City High School,Edmonton,T5J3K7
0094,Nunavut - Department of Education,0092,Jonah Amitnaaq School,Baker Lake,X0C0A0
9239,Portage College,0381,Portage College-Cold Lake Campus,Cold Lake,T9M0B6
0110,The Edmonton Catholic Separate School Division,1174,Alberta Accredited School,Edmonton,T5L0N4
8040,The Greater North Central Francophone Education Region,8025,�cole Ste-Jeanne-d'Arc,Edmonton,T6B0J9
0025,Janus Academy Society,0032,Janus Academy,Calgary,T2A1X5
0177,The Peace Wapiti School Division,1107,La Glace School,La Glace,T0H2J0
0019,The Red Deer Catholic Separate School Division,1253,St. John Paul II Catholic Outreach School,Red Deer,T4N0Y6
3070,The Red Deer School Division,1263,Odyssey High School,Red Deer,T4N6A6
1070,The Peace River School Division,1404,E E Oliver Elementary School,Fairview,T0H1L0
0110,The Edmonton Catholic Separate School Division,1429,Monsignor Fee Otterson Catholic Elementary/Junior High School,Edmonton,T6W0N5
0221,Atlas Learning Academy Ltd.,1435,Atlas Learning Academy Ltd.,Airdrie,T4B2C2
0222,Bindloss Kindergarten,1436,Bindloss School,Bindloss,T0J0H0
0023,Third Academy International Ltd.,1446,Third Academy Calgary South,Rocky View County,T1X1G2
4010,The Calgary Roman Catholic Separate School Division,1486,Light of Christ Catholic School,Calgary,T3J0L8
9006,The Northern Alberta Institute of Technology,1492,Fairview College - Northern Region,High Level,T0H1Z0
3030,The Calgary School Division,1499,Cranston School,Calgary,T3M1E8
0046,The Elk Island Catholic Separate School Division,2041,Archbishop Jordan Catholic High School,Sherwood Park,T8H0P5
0046,The Elk Island Catholic Separate School Division,2051,St. Luke Catholic School,Camrose,T4V0Y2
3030,The Calgary School Division,2054,Dr. Roberta Bondar School,Calgary,T3H5B1
3240,The Grande Prairie Public School Division,2077,Isabel Campbell Public School,Grande Prairie,T8W0G7
9216,NorQuest College,2099,NorQuest College (Barrhead),Barrhead,T7N1A1
2275,The Northern Gateway School Division,2115,Percy Baxter Middle School,Whitecourt,T7S1S2
0338,Learning Wings Education Systems,2179,Cambridge International Foundation School,,
2305,The Parkland School Division,2207,Seba Beach School,Seba Beach,T0E2B0
2305,The Parkland School Division,2221,Woodhaven Middle School,Spruce Grove,T7X0A4
2305,The Parkland School Division,2233,Spruce Grove Composite High School Outreach,Stony Plain,T7Z1J4
0344,V.I.K. Society of Alberta,2253,V.I.K. Academy Midnapore,Calgary,T2X2X7
0345,Municipality of Jasper,2254,Wildflowers Childcare,Jasper,T0E1E0
0350,Kunimoto Gakuen,2276,Kunimoto Alberta International School,Setagaya-ku,
9216,NorQuest College,2297,AVC Edmonton (Spruce Grove),Spruce Grove,T7X3A6
1175,The Pembina Hills School Division,2306,Fort Assiniboine School,Fort Assiniboine,T0G1A0
0023,Third Academy International Ltd.,2320,URSA,Calgary,T1X1E1
0152,Calgary Girls' School Society,2336,Calgary Girls Charter School - Bel Aire Campus,Calgary,T3E5P7
0371,Wing Kei Day Care Centre,2359,Wing Kei Montessori School,Calgary,T2E2Y7
1115,The Prairie Land School Division,2373,Prairie Land Online Academy,Hanna,T0J1P0
0388,Edson and District Community Learning Society,2397,Edson and District Community Learning Society,,
1175,The Pembina Hills School Division,2404,W R Frose School,Fawcett,T0G0Y0
9312,Lakeland Christian School Society,2421,Peace Christian Academy,grimshaw,T0H1W0
0023,Third Academy International Ltd.,2422,LYNX West,Calgary,T3E6M6
2457,Al-Zahra Islamic Research Foundation,2458,Al-Qaim International School,Calgary,T2H1C3
1110,The Sturgeon Public School Division,2502,Camilla School,Sturgeon County,T8R0J3
1110,The Sturgeon Public School Division,2515,Home Schooling,Morinville,T8R1L8
4077,The Greater St. Albert Roman Catholic Separate School Division,2585,Vital Grandin School Special Needs Program,,
1245,The Northern Lights School Division,2717,Kikino Elementary School,Kikino,T0A2B0
9244,Saddle Lake Education Authority,2797,Kihew Asiniy Education Centre,Saddle Lake,T0A3T0
1245,The Northern Lights School Division,2997,Lakeland School,,
2115,The Wetaskiwin School Division,3105,Falun School,Falun,T0C1H0
3370,Can Forces Base Dist #4986,3393,Major-General Griesbach School,Edmonton,T5E4L5
2285,The Battle River School Division,3504,Kinsella School,,
2285,The Battle River School Division,3509,C W Sears Elementary School,Tofield,T0B4J0
3170,Lloydminster Public School Division,3839,Avery School (LEAP) 6051103,Lloydminster,S9V0V7
0054,The Wolf Creek School Division,4206,Diamond Willow Middle School,Ponoka,T4J1N7
0054,The Wolf Creek School Division,4207,Ponoka Elementary School,Ponoka,T4J1N7
0054,The Wolf Creek School Division,4306,Eckville Junior Senior High School,Eckville,T0M0X0
0054,The Wolf Creek School Division,4309,Ecole James S. McCormick School,Lacombe,T4L1G2
0054,The Wolf Creek School Division,4318,Mirror Home Economics & Industrial Arts Centre,,
0054,The Wolf Creek School Division,4321,Home Schooling,Ponoka,T4J1P6
1045,The Horizon School Division,0009,Prairiehome Colony School,Taber,T1G1Z9
0027,Moberly Hall School Society,0046,Moberly Hall Charter School,Fort McMurray,T9H2M6
9001,Northwest Territories - Department of Education, Culture and Employment,0070,Kamanituak School,,
0094,Nunavut - Department of Education,0072,Amarjuaq High School,Igloolik,X0A0L0
0091,South Slave Divisional Education Council,0084,Diamond Jenness Secondary School,Hay River,X0E0R8
9856,Meadowlark Christ Sch,0177,Our Lady of Lourdes ECS,,
9824,Red Deer Child Care Society,0202,Red Deer Day Care Centre,Red Deer,T4N3T9
9883,Calgary Soc Stu With Learn Dif,0216,Learning Centre ECS,Calgary,T2T4Z9
9896,Golden Rule Pre-School E.C.S. Society,0233,Golden Rule Early Childhood Society,Cochrane,T0L0W3
9901,Calgary Parents For Uk Ed Soc,0238,St. Vladimir's Uk Orth Cul Cen,,
9907,The Salvation Army Children's Village,0244,The Salvation Army Children's Village,Calgary,T3C1M6
9939,The Franciscan Sisters Benevolent Society,0268,C.A.P. Headstart,Edmonton,T5H1W5
0078,Alberta Association for Conductive Education,0436,AACE,Calgary,T2W3N4
0070,Yukon Public Schools,0448,Robert Service School,Dawson City,Y0B1G0
0070,Yukon Public Schools,0459,Elijah Smith Elementary School,Whitehorse,Y1A2C6
9547,Millet & Dist ECS,0685,Millet School ECS,Millet,T0C1Z0
0052,The Clearview School Division,0724,Big Valley ECS Centre,Big Valley,T0J0G0
9594,Aspen/Dawe ECS Society,0744,G H Dawe School ECS,Red Deer,T4P1K2
9616,The Sunshiners Pre-School Association,0769,Hughenden Early Childhood Services Portable,Hughenden,T0B2E0
9622,West Park ECS Society,0775,West Park School Portable,Red Deer,T4N6L3
9652,Family Life Ed Council,0944,Cambrian Heights O N C,,
9771,Cactus Country E.C.S. Association,0955,Jenner School,Jenner,T0J1W0
9786,Buck Creek Kinder Assoc,0977,Buck Creek School ECS,,
9788,Flatbush Kindergarten,0978,Flatbush Community Hall ECS,,
9520,Westlock ECS,0987,Vimy School ECS,,
9796,Carseland Kind Association,0988,Carseland School ECS,Carseland,T0J0M0
3020,The Edmonton School Division,1004,George P. Nicholson School,Edmonton,T6J7J4
0146,Meadow Lake School Division No 66,1084,Pierceland Central School,Pierceland,S0M2K0
3030,The Calgary School Division,1125,Juno Beach Academy of Canadian Studies,Calgary,T2H1Z2
1180,The Foothills School Division,1131,Heritage Heights School,Foothills,T1S4Z1
2275,The Northern Gateway School Division,1201,Edson Trail School,,
2275,The Northern Gateway School Division,1211,Twilight Colony School,Valleyview,T0H3N0
1245,The Northern Lights School Division,1242,Crossroads Outreach School,Caslan,T0A0R0
2185,The St. Paul School Division,1244,St. Paul Store Front Campus,St. Paul,T0A3A3
0023,Third Academy International Ltd.,0031,The Third Academy,Rocky View County,T1X1G2
9761,Thornhill Child Care Society,0941,Thornhill Community Building Early Childhood Society,Calgary,T2K4Y5
4105,The Lakeland Roman Catholic Separate School Division,1121,Holy Family Catholic School,Waskatenau,T0A3P0
0176,Okotoks Montessori Preschool Society,1265,Okotoks Montessori Preschool Society,Okotoks,T1S1K8
0178,Access International College (Calgary) Inc.,1271,Access Academy,Calgary,T3E7K1
3030,The Calgary School Division,1332,Citadel Park School,Calgary,T3G4B8
0009,FFCA Charter Academy School Society,1348,Southeast Elementary Campus,Calgary,T2J1A9
2195,The Elk Island School Division,1367,Strathcona Christian Academy Elementary School,Sherwood Park,T8B0A3
0110,The Edmonton Catholic Separate School Division,1427,Sister Annata Brockman Catholic Elementary/Junior High School,Edmonton,T6M0L7
2285,The Battle River School Division,1563,Rosalind Colony School,Camrose,T4V0L3
4208,The Christ the Redeemer Catholic Separate School Division,1567,St. Luke's Outreach Centre Drumheller,Drumheller,T0J0Y0
0021,The Holy Family Catholic Separate School Division,1574,Rosary Roman Catholic Separate School,Manning,T0H2M0
1250,The Fort Vermilion School Division,1709,Florence MacDougall Community School,High Level,T0H1Z0
0266,Alpenglow Community Education Society,1717,Alpenglow Community School,Canmore,T1W1S2
0280,Kainai Education Society,1748,Opokaasin Early Intervention Society,Stand Off,T0L1Y0
0286,Alruwad International School,1758,Alruwad International School,Al Khoudh,132
0094,Nunavut - Department of Education,1776,Arctic College (Cape Dorset),Iqaluit,X0A0H0
0110,The Edmonton Catholic Separate School Division,1971,St. Thomas Aquinas Catholic Elementary/Junior High School,Edmonton,T6W3J4
8040,The Greater North Central Francophone Education Region,2020,Overlander School,,
1085,Grande Yellowhead Public School Division,2026,Grande Yellowhead Regional Division Home Schooling,Edson,T7E1S8
1155,Buffalo Trail Public Schools,2093,Rosewood Colony School,Provost,T0B3S0
2275,The Northern Gateway School Division,2106,Rich Valley School,Gunn,T0E1A0
0052,The Clearview School Division,2153,Whitesand Colony School,Stettler,T0C2L0
2155,The Golden Hills School Division,2162,Anchors Outreach School,Strathmore,T1P1T4
2155,The Golden Hills School Division,2196,George Freeman School,Strathmore,T1P1N3
1325,The Wild Rose School Division,2203,Evergreen Elementary School,Drayton Valley,T7A1H6
2305,The Parkland School Division,2211,High Park School,Stony Plain,T7Z1R6
2305,The Parkland School Division,2212,Wabamun School,Wabamun,T0E2K0
9361,Paul Band Education Authority,2291,Paul Band First Nation School,Duffield,T0E0N0
1175,The Pembina Hills School Division,2302,J R Harris Junior High School,Barrhead,T7N1P1
0378,Little Scholars ECS Ltd.,2375,Little Scholars Kindergarten,Calgary,T2E6S1
1175,The Pembina Hills School Division,2412,Westlock Junior High School,,
1110,The Sturgeon Public School Division,2503,Cunningham School,Morinville,T8R1A1
1110,The Sturgeon Public School Division,2516,Sturgeon Learning Centre,Gibbons,T0A1N0
2115,The Wetaskiwin School Division,3113,Wetaskiwin Home Education School,Wetaskiwin,T9A0J6
2195,The Elk Island School Division,3395,Strathcona Christian Academy,Sherwood Park,T8A4V7
1155,Buffalo Trail Public Schools,3820,Woodvale School,Vermilion,T0B4M0
4870,Lloydminster Roman Catholic Separate School Division,3853,St. Joseph's Elementary School,Lloydminster,T9V2B8
3170,Lloydminster Public School Division,3860,Avery Outreach School,Lloydminster,S9V0V7
1325,The Wild Rose School Division,4104,Leslieville Elementary School,Leslieville,T0M1H0
1325,The Wild Rose School Division,4109,Pioneer School,Rocky Mountain House,T4T1S7
1325,The Wild Rose School Division,4135,Nordegg Elementary School,Rocky Mountain House,T4T1S6
0054,The Wolf Creek School Division,4203,The Brick Learning Centre,Ponoka,T4J1P6
0340,Maskwacis Education Schools Commission,4287,Grace Marie Swampy Memorial Primary School,Maskwacis,T0C1N0
9308,Maskwachees Cultural College Foundation,4289,Maskwachees Cultural School,Maskwacis,T0C1N0
0340,Maskwacis Education Schools Commission,4291,Ermineskin Elementary School,Maskwacis,T0C1N0
0053,The Chinook's Edge School Division,4413,Poplar Ridge School,Red Deer County,T4E0L9
3070,The Red Deer School Division,4437,Central Middle School,Red Deer,T4N6X3
3070,The Red Deer School Division,4445,Mountview School,Red Deer,T4N0N9
3070,The Red Deer School Division,4446,North Elementary School,Red Deer,T4N4R3
3070,The Red Deer School Division,4452,West Park Elementary School,Red Deer,T4N4N3
3070,The Red Deer School Division,4463,Glendale Sciences and Technology School,Red Deer,T4P3E9
3070,The Red Deer School Division,4464,Aurora Treatment Centre,Red Deer,T4P3L5
3070,The Red Deer School Division,4469,Alberta Accredited School,Red Deer,T4R1W2
9027,Parkland Community Living and Supports Society,4493,Parkland School Special Education,Red Deer,T4N3M4
9127,Destiny Christian School Society,4494,Destiny Christian School Society,Red Deer County,T4E1S2
9066,Red Deer Polytechnic,4496,Bowden Institute,Innisfail,T4G1V1
2285,The Battle River School Division,4503,Bawlf School,Bawlf,T0B0J0
2285,The Battle River School Division,4543,Jack Stuart School,Camrose,T4V4B5
2285,The Battle River School Division,4550,Cottage Old School,Camrose,T4V0N3
2285,The Battle River School Division,4552,Century Meadows Baptist Church,,
2285,The Battle River School Division,4554,Alberta Accredited School,Camrose,T4V0L3
9256,The Cornerstone Christian Academy of Camrose,4595,Cornerstone Christian Academy,Kingman,T0B2M0
2285,The Battle River School Division,4702,Daysland School,Daysland,T0B1A0
2285,The Battle River School Division,4705,Allan Johnstone School,Hardisty,T0B1V0
2285,The Battle River School Division,4707,Killam Public School,Killam,T0B2L0
4330,The East Central Alberta Catholic Separate School Division,4825,Mother Teresa Halkirk Catholic School,Halkirk,T0C1M0
0053,The Chinook's Edge School Division,5107,Westglen School,Didsbury,T0M0W0
0053,The Chinook's Edge School Division,5111,Midway Community School,Didsbury,T0M0W0
0053,The Chinook's Edge School Division,5118,Reed Ranch School,Olds,T4H1P2
1190,The Rocky View School Division,5214,Kathyrn School,Kathyrn,T4A1J4
9292,Stoney Tribal Administration,5390,Chief Jacob Bearspaw School,Eden Valley,T0L2R0
9795,Calgary Quest Children's Society,5398,Calgary Quest School,Calgary,T3C0A5
2155,The Golden Hills School Division,5612,Trochu Valley School,Trochu,T0M2C0
2155,The Golden Hills School Division,5614,Wimborne School,,
9038,Prairie Bible Institute,5692,Prairie Junior High School,Three Hills,T0M2N0
1115,The Prairie Land School Division,5705,Morrin School,Morrin,T0J2B0
1115,The Prairie Land School Division,5802,Berry Creek Community School,Hanna,T0J1P0
1115,The Prairie Land School Division,5846,Hanna Primary School,Hanna,T0J1P0
0195,The Prairie Rose School Division,5907,New Brigden School,New Brigden,T0J2G0
1135,The Livingstone Range School Division,6103,Blairmore Elementary School,,
1135,The Livingstone Range School Division,6107,Cameron Elementary School,,
1135,The Livingstone Range School Division,6121,Livingstone School,Lundbreck,T0K1H0
1135,The Livingstone Range School Division,6122,Matthew Halton High School,Pincher Creek,T0K1W0
2255,The Palliser School Division,6390,Brant Colony School,Lethbridge,T1H5S1
2255,The Palliser School Division,6401,Kate Andrews High School,Coaldale,T1M1L9
2255,The Palliser School Division,6417,Chin Lakes Colony School,Lethbridge,T1H5S1
2255,The Palliser School Division,6418,Hofmann Colony School,Lethbridge,T1H5S1
3040,The Lethbridge School Division,6455,Wilson Middle School,Lethbridge,T1H1J3
3040,The Lethbridge School Division,6466,Winston Churchill High School,Lethbridge,T1H1W4
9348,Edu-Cater Skills Center,6485,Edu-Cater Skills Centre,Lethbridge,T1J4K2
9081,Orion Junior Academy,6495,Orion Academy,,
0056,The Westwind School Division,6508,Raymond Elementary School,Raymond,T0K2S0
1045,The Horizon School Division,6520,River Road Colony School,Taber,T1G1Z9
9329,Prairie Mennonite Church,6590,Prairie Christian School,Raymond,T0K2S0
1045,The Horizon School Division,6603,Enchant School,Enchant,T0K0V0
1045,The Horizon School Division,6605,Kinniburgh School,,
1045,The Horizon School Division,6613,Midland Colony School,Taber,T1G1Z9
2045,The Grasslands School Division,6701,Alcoma School,Rainier,T0J2M0
2045,The Grasslands School Division,6705,Gem School,Gem,T0J1M0
2045,The Grasslands School Division,6741,Brooks Junior High School,Brooks,T1R0Z3
2045,The Grasslands School Division,6742,Central School,Brooks,T1R0Z1
2045,The Grasslands School Division,6743,Brooks Primary School,Brooks,T1R0V6
0195,The Prairie Rose School Division,6801,Bindloss School,Bindloss,T0J0H0
0195,The Prairie Rose School Division,6806,New Hilda School,,
0195,The Prairie Rose School Division,6808,Seven Persons School,Seven Persons,T0K1Z0
3050,The Medicine Hat School Division,6857,Webster Niblock School,Medicine Hat,T1A6B6
3020,The Edmonton School Division,7090,Metro Continuing Education,Edmonton,T6C2N1
3020,The Edmonton School Division,7111,Beverly Heights School,,
3020,The Edmonton School Division,7127,Gold Bar School,Edmonton,T6A1Y3
3020,The Edmonton School Division,7186,Malmo School,Edmonton,T6H3N8
3020,The Edmonton School Division,7215,Evansdale School,Edmonton,T5E2N7
3020,The Edmonton School Division,7241,Steinhauer School,Edmonton,T6J4A6
3020,The Edmonton School Division,7254,Keheewin School,Edmonton,T6J5J8
3020,The Edmonton School Division,7501,Avonmore School,Edmonton,T6C2N1
3020,The Edmonton School Division,7502,Balwin School,Edmonton,T5C2A7
3020,The Edmonton School Division,7503,Crestwood School,Edmonton,T5N2T3
3020,The Edmonton School Division,7514,Holyrood School,Edmonton,T6C1W4
3020,The Edmonton School Division,7519,Lawton School,Edmonton,T5W2K6
3020,The Edmonton School Division,7553,Stratford Elementary/Junior High School,Edmonton,T5R1P1
3020,The Edmonton School Division,7612,Rio Terrace (Ukrainian) ECS,,
3020,The Edmonton School Division,7614,Inglewood - Alpha School,,
0163,German Language School Society of Edmonton,7925,German Language School Society of Edmonton,Devon,T9G0L8
9952,Excel Resources Society,7959,Excel Learning Centre,Edmonton,T5J3P4
9216,NorQuest College,7991,AVC-Acad Ext Program (Diploma,Edmonton,T6E0W8
3020,The Edmonton School Division,0017,Centre High,Edmonton,T5J2B7
9386,Diaspora Communications & Human Resources Institute Inc.,0029,AIC Alberta International College,Edmonton,T5J3K5
9834,Masinasin Kind Soc,0143,Masinasin School ECS,Milk River,T0K1M0
9085,University of Lethbridge,0175,University of Lethbridge Ch Centre ECS,,
9510,West Central Pre-School Soc,0204,Wembley United Church ECS,,
9672,Renfrew Educational Services Society,0222,Colonel Macleod ECS,,
1190,The Rocky View School Division,0235,Indus Elementary School,Calgary,T2P2G6
1325,The Wild Rose School Division,0237,Rocky Elementary School,Rocky Mountain House,T0M1S4
0043,Chipewyan Prairie First Nation,0324,Chipewyan Prairie Dene High School,Chard,T0P1G0
4010,The Calgary Roman Catholic Separate School Division,0346,St. Martin De Porres High School,Airdrie,T4B2M1
4208,The Christ the Redeemer Catholic Separate School Division,0391,St. Mary's School,Okotoks,T1S2A8
0052,The Clearview School Division,0392,Lone Pine Colony School,Stettler,T0C2L0
0031,Montessori Education Preschool & ECS Institute of Alberta,0442,Alpine Children's Centre,Calgary,T2V1V4
1155,Buffalo Trail Public Schools,0533,Vermilion Outreach School,Vermilion,T9X1G5
0089,Tlicho Community Services Agency,0566,Jean Wetrade Gameti School,Gameti,X0E1R0
1180,The Foothills School Division,0625,Education Plus - Okotoks,Okotoks,T1S1B3
9670,Anzac Citizen's Assoc,0626,Anzac Playschool,,
9511,Athabasca & Dist ECS Assoc,0630,Colinton Community Centre ECS,,
9743,Camrose Children's Centre,0669,Camrose Children's Center,Camrose,T4V1Y2
9536,Glenrose Hospital,0674,Glenrose Hospital ECS,,
9560,St. Vincent EC Enrich Pgm,0698,St. Vincent's Convent ECS,,
9837,Rocky Mountain ECS,0714,Lochearn Elementary School Port I/II,Rocky Mountain House,T0M1T0
9594,Aspen/Dawe ECS Society,0743,Aspen Heights School (Portable) ECS,Red Deer,T4P1K2
9615,Mt Calvary Luth Ch of Rd,0768,Mt Calvary Lutheran Church ECS,,
9647,Dalhousie Community Association,0812,Dalhousie Community Building ECS,Calgary,T3A1V6
9669,Pineridge Community Assoc,0839,Pineridge Community ECS,,
9652,Family Life Ed Council,0871,Central O N C,,
9703,Jerry & Jane K Association,0885,Catholic Central High School,,
9706,Lethbridge Rural E C Soc,0888,Hardieville School ECS,,
9623,Airdrie Kindergarten Assoc,0979,Muriel Clayton School ECS,,
9737,Lamont Com K Association,0984,Lamont Kind Nurs Res ECS,,
9000,Other Schools,0995,History Re-Registration,Edmonton,T5J5E6
0110,The Edmonton Catholic Separate School Division,1025,Father Michael Troy Catholic Junior High School,Edmonton,T6T1W7
1190,The Rocky View School Division,1042,Prairie Waters Elementary School,Chestermere,T1X1M6
0147,Eston-Elrose School Division #33,1091,Eston Composite School,Eston,S0L1A0
0147,Eston-Elrose School Division #33,1094,Kyle Hutterite Colony School,Elrose,S0L0Z0
9797,Edberg/Meeting Creek ECS Society,1168,Edberg School,Edberg,T0B1J0
4130,The Grande Prairie Roman Catholic Separate School Division,1177,St. Gerard Roman Catholic Seperate School,,
2195,The Elk Island School Division,1234,EIPS Home Education,Sherwood Park,T8A0Z2
3050,The Medicine Hat School Division,1236,Alternative High School,Medicine Hat,T1A0B4
2255,The Palliser School Division,5412,New Dale Colony School,Lethbridge,T1H5S1
2155,The Golden Hills School Division,5608,Orkney School,Three Hills,T0M0A0
2155,The Golden Hills School Division,5611,Viscount Torrington School,Torrington,T0M2B0
1115,The Prairie Land School Division,5712,Blue Sky Colony School,Hanna,T0J1P0
9216,NorQuest College,7992,AVC Academic Upgrading (Diploma Challenge),Edmonton,T5J1L6
0110,The Edmonton Catholic Separate School Division,8003,Father Leo Green Catholic Elementary School,Edmonton,T5C2R7
0110,The Edmonton Catholic Separate School Division,8017,St. Bernard School,,
