SCHOOL_DISTRICT_CODE,SCHOOL_DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SCHOOL_CITY,SCHOOL_POSTAL_CODE
1220,The High Prairie School Division,1614,E G Wahlstrom School,Slave Lake,T0G2A1
1180,The Foothills School Division,1724,HUB Okotoks,Okotoks,T1S2B2
0287,Grean Leaf Tutorial School,1760,Green Leaf Tutorial School,Strathmore,T1P1T7
3070,The Red Deer School Division,1787,School Within a College,Red Deer,T4N5H5
9235,Tallcree Band,1792,Chief Tallcree School South,Fort Vermilion,T0H1N0
0295,Garneau/University Early Learning Centre Society,1862,Garneau/University Early Learning Centre,Edmonton,T6G0X4
9195,Moberly Hall School,1867,Moberly Hall School,Fort McMurray,T9H2M6
4160,The Fort McMurray Roman Catholic Separate School Division,1879,Gregoire Park I (Portable),,
9108,Ft McMurray Alternate Sch,1892,Ft McMurray Alternate School,,
9240,Northern Lakes College,1897,Northern Lakes College (Eastern Region),Slave Lake,T0G2A3
9562,Sherwood Park Kindergarten,0700,Sherwood Park Kindergarten,Sherwood Park,T8A0R7
1135,The Livingstone Range School Division,1067,Livingstone Range Summer School,Fort Macleod,T0L0Z0
0177,The Peace Wapiti School Division,1301,Blueberry Creek School,Spirit River,T0H3G0
0177,The Peace Wapiti School Division,1303,Eaglesham School,Eaglesham,T0H1H0
0177,The Peace Wapiti School Division,1309,Woking School,Woking,T0H3V0
3030,The Calgary School Division,1331,Chaparral School,Calgary,T2X3X8
9118,GCA Educational Society,1442,Glenmore Christian Academy ECS,Calgary,T2Y4W2
1245,The Northern Lights School Division,1545,Art Smith Aviation Academy,Cold Lake,T9M2C1
2285,The Battle River School Division,1581,Hartland Colony School,Camrose,T4V0L3
5030,Falher Cons Sch Dist #69,1638,College English Building ECS,,
1280,The Northland School Division,1808,Elizabeth Community School,Cold Lake,T9M1P1
1280,The Northland School Division,1809,J F Dion School,Fishing Lake,T0A3G0
1280,The Northland School Division,1813,Embarass School,,
0296,1338075 Alberta Ltd.,1863,Wonderflow School House,Red Deer,T4N3P9
0091,South Slave Divisional Education Council,0086,P W Kaeser High School,Fort Smith,X0E0P0
4160,The Fort McMurray Roman Catholic Separate School Division,1877,Birch Road ECS (Portable),,
4160,The Fort McMurray Roman Catholic Separate School Division,1884,Thickwood Heights School ECS,,
9239,Portage College,1898,Portage College Lac La Biche,Lac La Biche,T0A2C0
0300,Nebula Foundation,1911,Nebula Academy,Edmonton,T5B2S9
3020,The Edmonton School Division,1927,Jan Reimer School,Edmonton,T6X1Y9
0110,The Edmonton Catholic Separate School Division,1969,St. John XXIII School,Edmonton,T6W0V9
0110,The Edmonton Catholic Separate School Division,1973,Corpus Christi Catholic Elementary/Junior High School,Edmonton,T6X1P9
0315,E2 Society for Twice-Exceptional Learners,1983,E2 Academy,Edmonton,T6R2V4
0318,Maplewood Canadian International School LLC,1991,Maplewood Canadian International School LLC,Abu Dhabi,
0011,Joshua International College Society,0015,Joshua International College,Calgary,T2E1Y1
9001,Northwest Territories - Department of Education, Culture and Employment,0087,Matonabbee School,Yellowknife,X1A2L9
0031,Montessori Education Preschool & ECS Institute of Alberta,0119,Britannia Children's Center,Calgary,T2V1V4
9872,Primrose Place Family Centre Association,0196,Primrose Place Day Care Centre,Edmonton,T6A0L1
9066,Red Deer Polytechnic,0197,Play Matters Child Centre,Red Deer,T4N5H5
9894,The PREP Society,0230,The PREP Society,Calgary,T2N1J7
0108,Foothills Alliance Kindergarten Society,0263,Foothills Alliance ECS,Calgary,T3A4K4
0048,The Evergreen Catholic Separate School Division,0321,St. Anne's Catholic Kindergarten,Barrhead,T7N1C8
2155,The Golden Hills School Division,0341,Glenrose Colony School,Strathmore,T1P1J4
0088,Dehcho Divisional Education Council,0354,Charles Yohin School,Nahanni Butte,X0E0N0
4208,The Christ the Redeemer Catholic Separate School Division,0439,St. Joseph's Collegiate,Brooks,T1R0V8
0070,Yukon Public Schools,0445,F. H. Collins Secondary School,Whitehorse,Y1A2C6
9272,Unlimited Potential Community Services Society,0483,Thomas More Academy,Edmonton,T5S1K9
9033,Grande Prairie Regional College,0500,Grande Prairie Regional College (ASN),Edmonton,T5K0L2
9236,Olds College,0509,Olds College (ASN),Edmonton,T5K0L2
0088,Dehcho Divisional Education Council,0560,Bompas Elementary,Fort Simpson,X0E0N0
4010,The Calgary Roman Catholic Separate School Division,0581,Bishop O'Byrne High School,Calgary,T2Y4H3
9510,West Central Pre-School Soc,0611,Bezanson ECS Portable,,
9534,Edmonton Talmud Torah,0672,Talmud Torah School ECS,,
2245,The Black Gold School Division,0678,Willow Park Estates (Administration Building),,
9550,Norwood Child & Family Resource Centre,0688,Norwood Child & Family Resource Centre,Edmonton,T5G0K7
9620,Waverly ECS Society,0773,Waverly ECS Centre,Stettler,T0C2L0
9753,Brooks Kindergarten Assoc,0776,Brooks Primary School ECS,,
9755,Bow City-Rainier-Scandia C,0778,Alcoma School ECS,,
9634,Cambrian Heights Comm Kind,0798,Cambrian Heights Community Hall ECS,,
9654,Glendale/Glenmeadows Comm ECS,0822,Glenmeadows Elementary School,,
9663,Morrin ECS,0832,Morrin School ECS (Portable),Morrin,T0J2B0
9665,Olds ECS Society,0834,Olds ECS (School Portable),,
9674,Rosedale Comm Kind,0844,Rosedale Community Hall ECS,Calgary,T2M3J5
9681,Springbank K Association,0851,Cottage School ECS,,
9687,Turner Valley ECS,0858,Turner Valley School ECS,Turner Valley,T0L2A0
9652,Family Life Ed Council,0936,Southwood O N C,,
9658,Huntington Hills Community Association,0938,Cath Nich Gunn ECS-School Port,,
9739,Wabamun Storyland Kind,0951,Duffield Hall ECS,,
9775,Gleichen Early Child Assoc,0967,Gleichen Elementary School ECS,Gleichen,T0J1N0
9383,Alberta Charitable Society of St. Pius X,0991,St. John Bosco Private School,,
0110,The Edmonton Catholic Separate School Division,1027,St. Teresa of Calcutta Catholic Elementary School,Edmonton,T5H4P9
0139,Tiny Tykes Early Childhood Services Society,1052,Tiny Tykes Early Childhood Services Society,Calgary,T2P0G7
0140,Foothills Lutheran Christian School,1061,Foothills Lutheran Christian School,Calgary,T2L2A3
4010,The Calgary Roman Catholic Separate School Division,1119,St. Brigid,Calgary,T3G5S6
0160,Prairie Winds International Academy,1200,Choices Academy,Calgary,T3L1V7
9000,Other Schools,1223,Edmonton Provincial Writing Centre,Edmonton,T5L4P6
1250,The Fort Vermilion School Division,1715,High Level Learning Store,High Level,T0H1Z0
0284,The Southern Francophone Education Region,1060,�cole Notre-Dame des Monts,Canmore,T1W3M6
0195,The Prairie Rose School Division,1021,Coulee Collegiate,Medicine Hat,T1A3Y6
0195,The Prairie Rose School Division,2200,South Alberta High School,Dunmore,T1B0K3
0030,Independent Baptist Christian Education Society,0098,Harvest Baptist Academy,Spruce Grove,T7X3H5
9410,Innisfree and District Early Childhood Services Association,0298,Innisfree School,Innisfree,T0B2G0
1135,The Livingstone Range School Division,0430,Greenwood Colony School,Fort Macleod,T0L0Z0
1135,The Livingstone Range School Division,0534,Livingstone Colony School,Lundbreck,T0K1H0
9934,Marlborough Day Nursery ECS Limited,1250,Tiny Treasures Osler,Red Deer,T4P4C1
0187,created in error,1286,created in error,,
9266,Maranatha Christian Academy Fellowship,1292,Maranatha Christian Academy Fellowship,Fox Creek,T0H1P0
0191,Crossroads Family Services,1296,Crossroads Child Development Centre,Edmonton,T6X1E9
0177,The Peace Wapiti School Division,1305,Savanna School,Silver Valley,T0H3E0
0177,The Peace Wapiti School Division,1308,Wanham School,Wanham,T0H3P0
0110,The Edmonton Catholic Separate School Division,1318,Fresh Start Millwoods,Edmonton,T6K2N2
4010,The Calgary Roman Catholic Separate School Division,1336,St. Albert the Great,Calgary,T2Z3X3
4010,The Calgary Roman Catholic Separate School Division,1337,St. Basil Elementary/Junior High School,Calgary,T3L2T5
0204,1200116 Alberta Ltd.,1366,The Natural Learning Centre,Calgary,T3K2A8
0231,The Trustees of the Kowloon Tong Church of the Chinese Christian And Missionary Alliance,1374,Christian Alliance International School,Cheung Sha Wan,
1070,The Peace River School Division,1403,Fairview Junior High School,Fairview,T0H1L0
9313,Nipisihkopahk Education Authority,1418,Nipisihkopahk Academy,Maskwacis,T0C1N0
0232,Neuchatel Junior College,1420,Neuchatel Junior College,Edmonton,T5J5E6
0009,FFCA Charter Academy School Society,1426,North Middle School Campus,Calgary,T2E5S7
3020,The Edmonton School Division,1456,Dr. Donald Massey School,Edmonton,T5Y0E8
3020,The Edmonton School Division,1457,Florence Hallock School,Edmonton,T5Z3X1
3020,The Edmonton School Division,1459,Elizabeth Finch School,Edmonton,T6V0C9
4010,The Calgary Roman Catholic Separate School Division,1462,Good Shepherd School,Airdrie,T4A2A5
0054,The Wolf Creek School Division,1464,Iron Ridge Elementary Campus,Blackfalds,T0M0J0
4208,The Christ the Redeemer Catholic Separate School Division,1471,St. Luke's Outreach Centre High River,High River,T1V1H8
2255,The Palliser School Division,1472,Albion Ridge Colony School,Picture Butte,T0K1B0
1070,The Peace River School Division,1503,Deadwood School,Deadwood,T0H1A0
1070,The Peace River School Division,1514,Springfield Elementary School,Peace River,T8S1R4
3030,The Calgary School Division,1520,Saddle Ridge School,Calgary,T3J5L6
2115,The Wetaskiwin School Division,1526,Buck Mountain Outreach Program,Buck Lake,T0C0T0
4010,The Calgary Roman Catholic Separate School Division,1554,Sanctuary Outreach,Calgary,T2A6B4
3020,The Edmonton School Division,1578,Michael Strembitsky School,Edmonton,T6X0Z5
1190,The Rocky View School Division,1584,Cochrane Christian Academy,Cochrane,T4C1Y2
0021,The Holy Family Catholic Separate School Division,1619,St. Francis Holistic Learning Centre,High Prairie,T0G1E0
1220,The High Prairie School Division,1620,George P Vanier (English) School ECS,,
0235,Asasa Learning,1623,Asasa Academy,Calgary,T2K3J6
0094,Nunavut - Department of Education,1624,Paatsaali School,Sanikiluaq,X0A0W0
0156,The Government of Canada as represented by Correctional Service Canada,1626,Grierson Education Centre,Edmonton,T5H0B3
1180,The Foothills School Division,1630,Westmount School,Okotoks,T1S2J5
5030,Falher Cons Sch Dist #69,1636,McLennan Preschool,,
0170,The Canadian Montessori School Ltd.,1687,Canadian Montessori School Britannia,Calgary,T2V0P6
1190,The Rocky View School Division,1762,East Lake School,Chestermere,T1X0P4
1190,The Rocky View School Division,1764,W.H. Croxford High School,Airdrie,T4B0J4
1280,The Northland School Division,1812,Fort McKay School,Fort MacKay,T0P1C0
3260,The Board of Trustees of Fort McMurray Public School Division,1857,Westwood Community High School,Fort McMurray,T9H4Z7
4160,The Fort McMurray Roman Catholic Separate School Division,1874,Ft McMurray Seperate ECS Program,Fort McMurray,T9H3G6
0321,Dongying Shengli No. 1 Middle School,1994,Qilu Sino-Canadian International School (Dongying Shengli No. 1 Middle School),Dongying,257000
1045,The Horizon School Division,1997,Goldspring Colony School,Warner,T0K2L0
1085,Grande Yellowhead Public School Division,2016,Peers School,Peers,T0E1W0
1085,Grande Yellowhead Public School Division,2023,Westhaven Elementary School,Edson,T7E1S6
1085,Grande Yellowhead Public School Division,2028,The Learning Connection - Hinton,Hinton,T7V2A4
3030,The Calgary School Division,2029,Buffalo Rubbing Stone School,Calgary,T3K0X2
0048,The Evergreen Catholic Separate School Division,2030,Father Gerard Redmond Community Catholic School,Hinton,T7V1J4
1085,Grande Yellowhead Public School Division,2035,Jasper Junior Senior High School,Jasper,T0E1E0
0046,The Elk Island Catholic Separate School Division,2038,Our Lady of The Angels Catholic School,Fort Saskatchewan,T8L1W7
0046,The Elk Island Catholic Separate School Division,2039,Our Lady of Perpetual Help Catholic School,Sherwood Park,T8A2G7
0046,The Elk Island Catholic Separate School Division,2040,Ecole Pere Kenneth Kearns Catholic School,Sherwood Park,T8A0B6
1085,Grande Yellowhead Public School Division,2042,Grande Cache Community High School,Grande Cache,T0E0Y0
1085,Grande Yellowhead Public School Division,2044,Sheldon Coates Elementary School,Grande Cache,T0E0Y0
0046,The Elk Island Catholic Separate School Division,2047,St. Theresa Catholic School,Sherwood Park,T8A0X2
0046,The Elk Island Catholic Separate School Division,2050,St. Theresa School ECS,,
0046,The Elk Island Catholic Separate School Division,2053,Holy Redeemer Catholic School,Ardrossan,T8E2M8
0323,Manning Community Adult Learning Centre,2057,Manning Community Adult Learning Centre,Manning,T0H2M0
4208,The Christ the Redeemer Catholic Separate School Division,2063,St. Francis of Assisi Academy,Foothills,T1S4Z1
3030,The Calgary School Division,2068,Peter Lougheed School,Calgary,T3J5J1
3030,The Calgary School Division,2069,Marshall Springs School,Calgary,T2Y4X5
0177,The Peace Wapiti School Division,2078,Whispering Ridge Community School,Grande Prairie,T8X0S1
0019,The Red Deer Catholic Separate School Division,2079,St. Gregory The Great Catholic School,Blackfalds,T4R0M4
3030,The Calgary School Division,2087,West Ridge School,Calgary,T3H5N9
2275,The Northern Gateway School Division,2104,Mayerthorpe Junior Senior High School,Mayerthorpe,T0E1N0
2275,The Northern Gateway School Division,2107,Sangudo Community School,Sangudo,T0E2A0
2275,The Northern Gateway School Division,2114,Grasmere School,Alberta Beach,T0E0A0
0328,Joso's Kindergarten Institute,2116,Joso's Play and Learn Centre - West Springs ECS,,
0329,Learning From Play Educational Foundation,2117,Learning From Play,Spruce Grove,T7X0Y5
0094,Nunavut - Department of Education,2120,Tuugaalik High School,Naujaat,X0C0H0
4105,The Lakeland Roman Catholic Separate School Division,2124,Light of Christ Catholic School,Lac La Biche,T0A2C0
0187,created in error,2127,Created in Error,,
0284,The Southern Francophone Education Region,2149,�cole du Nouveau-Monde,Calgary,T3L0E7
4010,The Calgary Roman Catholic Separate School Division,2155,Apostles of Jesus,Calgary,T3N1H6
0047,The Living Waters Catholic Separate School Division,2171,�cole St. Mary School,Whitecourt,T7S1M9
9354,Cleardale Mennonite School Society,2177,Worsely Mennonite School,Cleardale,T0H3Y0
0195,The Prairie Rose School Division,2183,Meridian Colony School,Acadia Valley,T0J0A0
7020,The Board of Trustees of St. Albert Public Schools,2188,Joseph M. Demko School,St. Albert,T8N7V3
4010,The Calgary Roman Catholic Separate School Division,2189,Divine Mercy School,Calgary,T3M1M5
9318,Alexis Band,2190,Alexis Elementary Junior Senior High School,Glenevis,T0E0X0
9204,Whitecourt Christian Ed Centre,2191,Whitecourt Christian Ed Centre,Whitecourt,T7S1N3
9000,Other Schools,2193,Pembina Ed Cons - Whitecourt,Whitecourt,T7S1N8
9216,NorQuest College,2194,AVC Edmonton (Whitecourt),Whitecourt,T7S1N8
4010,The Calgary Roman Catholic Separate School Division,2195,Blessed Marie-Rose,Calgary,T3R1M9
9217,Bow Valley College,0010,Bow Valley College - Canmore Campus,Calgary,T2G4S6
