REGISTRATION_SCHOOL_CODE,REGISTRATION_SCHOOL_YEAR,REGISTRATION_ASN,REGISTRATION_START_DATE,REGISTRATION_EXIT_DATE
1105,2024,001622332,05-SEP-23,26-JUN-24
1113,2024,052118594,05-SEP-23,26-JUN-24
1113,2024,039930608,05-SEP-23,26-JUN-24
1108,2024,016421787,05-SEP-23,26-JUN-24
1108,2024,022890884,05-SEP-23,26-JUN-24
1103,2024,016513542,05-SEP-23,26-JUN-24
2078,2024,043915496,05-SEP-23,26-JUN-24
1113,2024,049277065,05-SEP-23,26-JUN-24
1135,2024,035347948,05-SEP-23,26-JUN-24
1209,2022,035843342,31-AUG-21,28-JUN-22
1115,2022,003055853,31-AUG-21,28-JUN-22
0590,2023,034595422,31-AUG-22,27-JUN-23
0590,2023,048794854,31-AUG-22,27-JUN-23
1203,2023,007879258,31-AUG-22,27-JUN-23
1135,2023,005068276,31-AUG-22,27-JUN-23
1115,2022,000867615,31-AUG-21,28-JUN-22
1306,2023,022625165,31-AUG-22,27-JUN-23
1112,2022,018100603,31-AUG-21,28-JUN-22
1115,2023,001195735,31-AUG-22,27-JUN-23
1203,2023,013404877,31-AUG-22,27-JUN-23
1115,2022,036336494,31-AUG-21,28-JUN-22
1112,2022,049954895,31-AUG-21,28-JUN-22
0590,2023,039655205,31-AUG-22,27-JUN-23
1115,2022,025889669,31-AUG-21,28-JUN-22
2078,2022,004407863,31-AUG-21,28-JUN-22
1305,2022,046246279,31-AUG-21,28-JUN-22
1112,2023,028925452,31-AUG-22,27-JUN-23
1468,2022,044908722,31-AUG-21,28-JUN-22
0590,2023,025345266,31-AUG-22,27-JUN-23
1115,2023,025659740,31-AUG-22,27-JUN-23
1108,2022,011389419,31-AUG-21,28-JUN-22
1306,2022,005510913,31-AUG-21,28-JUN-22
2078,2023,034864513,31-AUG-22,27-JUN-23
2078,2022,039726808,31-AUG-21,28-JUN-22
1424,2023,016251846,31-AUG-22,27-JUN-23
2078,2022,036237601,31-AUG-21,28-JUN-22
1103,2022,017775843,31-AUG-21,28-JUN-22
0590,2023,037675577,31-AUG-22,27-JUN-23
1108,2022,019470831,31-AUG-21,28-JUN-22
1108,2022,051771617,31-AUG-21,28-JUN-22
1101,2023,035177857,31-AUG-22,27-JUN-23
1305,2023,046246279,31-AUG-22,27-JUN-23
1111,2023,028481100,31-AUG-22,27-JUN-23
1424,2022,020524485,31-AUG-21,28-JUN-22
1305,2023,026939547,31-AUG-22,27-JUN-23
1108,2022,035063222,31-AUG-21,28-JUN-22
1115,2022,031930879,31-AUG-21,28-JUN-22
1304,2024,011620813,05-SEP-23,26-JUN-24
1135,2024,034167396,05-SEP-23,26-JUN-24
1115,2024,047132387,05-SEP-23,26-JUN-24
1203,2024,049666820,05-SEP-23,26-JUN-24
1424,2024,027875005,05-SEP-23,26-JUN-24
1105,2024,002443951,05-SEP-23,26-JUN-24
1302,2024,005700316,05-SEP-23,26-JUN-24
1113,2024,012722279,05-SEP-23,26-JUN-24
1103,2024,030369350,05-SEP-23,26-JUN-24
1135,2024,040615552,05-SEP-23,26-JUN-24
1303,2024,049507990,05-SEP-23,26-JUN-24
0590,2024,036363845,05-SEP-23,26-JUN-24
1101,2024,036561596,05-SEP-23,26-JUN-24
0590,2024,021034815,05-SEP-23,26-JUN-24
0590,2024,019727891,05-SEP-23,26-JUN-24
1105,2024,023937718,05-SEP-23,26-JUN-24
1105,2024,049296503,05-SEP-23,26-JUN-24
0590,2024,014033170,05-SEP-23,26-JUN-24
1105,2024,003217362,05-SEP-23,26-JUN-24
2078,2024,036541622,05-SEP-23,26-JUN-24
1108,2024,013338612,05-SEP-23,26-JUN-24
1115,2024,048407028,05-SEP-23,26-JUN-24
1104,2024,013934808,05-SEP-23,26-JUN-24
1101,2024,005742128,05-SEP-23,26-JUN-24
0590,2024,045227536,05-SEP-23,26-JUN-24
1102,2024,052629566,05-SEP-23,26-JUN-24
1306,2024,014138755,05-SEP-23,24-OCT-23
1105,2024,033470874,05-SEP-23,26-JUN-24
1115,2024,018955659,05-SEP-23,26-JUN-24
1101,2024,039874871,05-SEP-23,26-JUN-24
1306,2024,044847649,05-SEP-23,26-JUN-24
1108,2024,025273229,05-SEP-23,26-JUN-24
1105,2024,047456588,05-SEP-23,26-JUN-24
1306,2024,039548194,05-SEP-23,26-JUN-24
1304,2024,039916508,05-SEP-23,26-JUN-24
2078,2024,016549751,05-SEP-23,26-JUN-24
1112,2024,039391041,05-SEP-23,26-JUN-24
1112,2024,049241400,05-SEP-23,26-JUN-24
0590,2024,015012777,05-SEP-23,26-JUN-24
2078,2024,042850595,05-SEP-23,26-JUN-24
1108,2022,011114452,31-AUG-21,28-JUN-22
1108,2023,037711844,31-AUG-22,27-JUN-23
1306,2022,038751161,31-AUG-21,28-JUN-22
1104,2022,027818369,31-AUG-21,08-NOV-21
1468,2023,049317366,31-AUG-22,27-JUN-23
2078,2022,012124724,31-AUG-21,28-JUN-22
1306,2022,043681965,31-AUG-21,28-JUN-22
1135,2022,012535374,31-AUG-21,28-JUN-22
1303,2022,038712023,31-AUG-21,28-JUN-22
1135,2022,039029203,31-AUG-21,28-JUN-22
1108,2023,011389419,31-AUG-22,27-JUN-23
1135,2022,024461379,31-AUG-21,28-JUN-22
1112,2023,008076193,31-AUG-22,27-JUN-23
1305,2023,021681359,31-AUG-22,27-JUN-23
1105,2023,004828795,31-AUG-22,27-JUN-23
1108,2022,026045378,31-AUG-21,28-JUN-22
1112,2022,026612581,31-AUG-21,28-JUN-22
2078,2023,020885910,31-AUG-22,27-JUN-23
2078,2023,002564426,31-AUG-22,27-JUN-23
2078,2022,010234798,31-AUG-21,28-JUN-22
0590,2022,009290413,31-AUG-21,28-JUN-22
1105,2023,019142943,31-AUG-22,27-JUN-23
1135,2023,026252586,31-AUG-22,27-JUN-23
1108,2022,030233283,31-AUG-21,28-JUN-22
0590,2023,013393062,31-AUG-22,27-JUN-23
2078,2022,005798724,31-AUG-21,28-JUN-22
2078,2023,035477976,31-AUG-22,27-JUN-23
1424,2022,004779030,31-AUG-21,28-JUN-22
1103,2023,022955471,31-AUG-22,27-JUN-23
1112,2023,023377360,31-AUG-22,27-JUN-23
1135,2022,031358832,31-AUG-21,28-JUN-22
1203,2024,014621321,05-SEP-23,25-OCT-23
1107,2024,001174003,05-SEP-23,26-JUN-24
2078,2024,043241687,05-SEP-23,26-JUN-24
1113,2024,046011921,05-SEP-23,26-JUN-24
1115,2024,041401887,05-SEP-23,26-JUN-24
1108,2024,021701975,05-SEP-23,18-SEP-23
0590,2024,013543179,05-SEP-23,26-JUN-24
1103,2024,008131980,05-SEP-23,26-JUN-24
1115,2024,049553309,05-SEP-23,26-JUN-24
0590,2024,014101233,05-SEP-23,26-JUN-24
2078,2024,050974923,05-SEP-23,26-JUN-24
1103,2024,024610694,05-SEP-23,26-JUN-24
1108,2024,005947222,05-SEP-23,26-JUN-24
1105,2024,035680850,05-SEP-23,26-JUN-24
1304,2024,017552416,05-SEP-23,26-JUN-24
1115,2024,013106860,05-SEP-23,26-JUN-24
1112,2024,026986100,05-SEP-23,26-JUN-24
1103,2024,038900446,05-SEP-23,26-JUN-24
1102,2024,029909604,05-SEP-23,26-JUN-24
1107,2024,016142342,05-SEP-23,26-JUN-24
0590,2024,007329346,05-SEP-23,26-JUN-24
1101,2024,022251715,05-SEP-23,26-JUN-24
1424,2024,029979102,05-SEP-23,26-JUN-24
1104,2024,051887363,05-SEP-23,26-JUN-24
1102,2024,015215503,05-SEP-23,26-JUN-24
0590,2024,033393365,05-SEP-23,26-JUN-24
0590,2024,024675242,05-SEP-23,26-JUN-24
1108,2024,020847100,05-SEP-23,26-JUN-24
2078,2024,038445954,05-SEP-23,26-JUN-24
1105,2024,043881177,05-SEP-23,26-JUN-24
1108,2024,039521647,05-SEP-23,26-JUN-24
1108,2024,031478911,05-SEP-23,26-JUN-24
1424,2024,024696735,05-SEP-23,26-JUN-24
1306,2024,045686467,05-SEP-23,26-JUN-24
1305,2024,042329285,05-SEP-23,26-JUN-24
1305,2024,033771081,05-SEP-23,26-JUN-24
1115,2024,018779042,05-SEP-23,26-JUN-24
2078,2024,025650186,05-SEP-23,26-JUN-24
1115,2024,041930356,05-SEP-23,26-JUN-24
1304,2023,011648541,31-AUG-22,27-JUN-23
1102,2023,018785262,31-AUG-22,27-JUN-23
1101,2023,025938870,31-AUG-22,27-JUN-23
1306,2023,024967524,31-AUG-22,27-JUN-23
0590,2022,026944869,01-SEP-21,14-JAN-22
2239,2022,011926954,08-SEP-21,28-JUN-22
1135,2022,013027462,07-SEP-21,19-MAY-22
1108,2023,026646829,31-AUG-22,27-JUN-23
1112,2023,021532016,31-AUG-22,27-JUN-23
1103,2023,013949657,31-AUG-22,27-JUN-23
0319,2022,049276398,17-SEP-21,28-JUN-22
0590,2023,006475629,31-AUG-22,27-JUN-23
1104,2022,023485072,21-SEP-21,28-JUN-22
1101,2023,037119717,31-AUG-22,27-JUN-23
1108,2023,032439300,31-AUG-22,27-JUN-23
1306,2023,037339034,31-AUG-22,27-JUN-23
1424,2022,034058900,29-SEP-21,28-JUN-22
1103,2022,021799664,04-OCT-21,28-JUN-22
2239,2023,043770172,01-OCT-22,27-JUN-23
1303,2022,014622972,12-OCT-21,28-JUN-22
2078,2022,041018970,19-OCT-21,28-JUN-22
2239,2023,017589681,03-OCT-22,27-JUN-23
1424,2023,014458070,31-AUG-22,27-JUN-23
1103,2024,017992182,05-SEP-23,26-JUN-24
1104,2024,004761780,05-SEP-23,26-JUN-24
0590,2024,047625463,05-SEP-23,26-JUN-24
2078,2024,005510830,05-SEP-23,26-JUN-24
2078,2024,001548479,05-SEP-23,26-JUN-24
1105,2024,029388817,05-SEP-23,26-JUN-24
2078,2024,045031326,05-SEP-23,26-JUN-24
1104,2024,026143488,05-SEP-23,26-JUN-24
2078,2024,007192850,05-SEP-23,26-JUN-24
0590,2024,005427068,05-SEP-23,26-JUN-24
1105,2024,031418461,05-SEP-23,26-JUN-24
1108,2024,023271555,05-SEP-23,26-JUN-24
1112,2024,014378989,05-SEP-23,26-JUN-24
1107,2024,000421496,05-SEP-23,26-JUN-24
