COURSE_COSE,COURSE_ENGLISH_FULL_NAME,COURSE_ENGLISH_SHORT_NAME,COURSE_FRENCH_FULL_NAME,COURSE_FRENCH_SHORT_NAME
HES1070,Cardiovascular System,Cardiovascular System,Syst cardiovasculaire,Syst cardiovasculaire
HEC3621,Personal Living Skills 30,Personal Living Skills 30,Habiletes person. 30,Habiletes person. 30
HES3140,EarlyLearn&ChildCare 5,EarlyLearn&ChildCare 5,Garde jeunes et enfants 5,Garde jeunes et enfants 5
HES3910,HES Project D,HES Project D,HES Projet D,HES - Projet D
HSA3476,Various Haircuts,Various Haircuts,Coupes diverses,Coupes diverses
IED3949,Piping 32A,Piping 32A,Plomberie 32A,Plomberie 32A
IED3970,Sheet Metal 32C,Sheet Metal 32C,Metaux 32C,Metaux 32C
IED3962,Health Services 32B,Health Services 32B,Services de sante 32B,Services de sante 32B
IED3951,Piping 32C,Piping 32C,Plomberie 32C,Plomberie 32C
IOP2835,Beauty Culture 26,Beauty Culture 26,Esthetique 26,Esthetique 26
IOP3602,Child & Health Care 36,Child & Health Care 36,Pueric./soins de s. 36,Pueric./soins de s. 36
AGR3160,Turf Management,Turf Management,Gestion de pelouse,Gestion de pelouse
CKA3425,Breakfast-Food Service,Breakfast-Food Service,Repas matin Service,Repas matin-serv. al.
CKA3440,Pantry-Salad & Sandwich,Pantry-Salad & Sandwich,Salades et sandwichs,Salades et sandwichs
CRA3427,Accessory Tools,Accessory Tools,Outils accessoires,Outils accessoires
CTR1120,Project 1B,Project 1B,Projet 1B-EPT,Projet 1B - EPT
CTR2120,Project 2B,Project 2B,Projet 2B - EPT,Projet 2B - EPT
CTS4570,Tourism Studies 1K,Tourism Studies 1K,Tourisme 1K,Tourisme 1K
CTS4568,Tourism Studies 1H,Tourism Studies 1H,Tourisme  1H,Tourisme  1H
CTS4734,Wildlife 1B,Wildlife 1B,Faune 1B,Faune 1B
CTS4757,Logistics 1C,Logistics 1C,Logistique 1C,Logistique 1C
CTS5540,Foods 2K,Foods 2K,Alimentation 2K,Alimentation 2K
CTS5538,Foods 2H,Foods 2H,Alimentation 2H,Alimentation 2H
CTS5555,Legal Studies 2C,Legal Studies 2C,Droit 2C,Droit 2C
CTS5560,Legal Studies 2K,Legal Studies 2K,Droit 2K,Droit 2K
CTS6666,Electro-Technologies 3D,Electro-Technologies 3D,Electronique 3D,Electronique 3D
CTS6664,Electro-Technologies 3B,Electro-Technologies 3B,Electronique 3B,Electronique 3B
CTS6710,Agriculture 3K,Agriculture 3K,Agriculture 3K,Agriculture 3K
CTS6707,Agriculture 3G,Agriculture 3G,Agriculture 3G,Agriculture 3G
CTS6706,Agriculture 3D,Agriculture 3D,Agriculture 3D,Agriculture 3D
DES2910,DES Project B,DES Project B,DES - Projet B,DES - Projet B
DES2075,Technical Drafting 2,Technical Drafting 2,Dessin technique 2,Dessin technique 2
DES2050,Tech Drawing Applications,Tech Drawing Applications,Dessin technique,Dessin technique
ELA0972,Literature 30,Literature 30,Litterature 30,Litterature 30
DES3950,DES Advanced Practicum,DES Advanced Practicum,Stage avancé DES,Stage avance DES
DES3920,DES Project E,DES Project E,DES - Projet E,DES - Projet E
ELA3100,English 30,English 30,Anglais 30,Anglais 30
EST1025,Skin Care Practices - Client Services,Skin Care Prac-ClntSrv,Soins de la peau - Service à la clientèle,Soins peau-Serv client
FIN1020,Accounting Cycle 1,Accounting Cycle 1,Comptabilité 1er cycle,Comptabilite 1er cycle
FIN3070,Financial Planning,Financial Planning,Planification financière,Planification financiere
FIN3050,Small Busines Taxation,Small Busines Taxation,Impôt des petites entreprises,Impot des PME
FIN3010,Advanced Accounting,Advanced Accounting,Comptabilité avancée,Comptabilite avancee
FOR1010,Forests & Society,Forests & Society,Foresterie et société,Foresterie et societe
HCS2910,HCS Project B,HCS Project B,HCS - Projet B,HCS - Projet B
HCS2060,Endocrine System,Endocrine System,Système endocrinien,Systeme endocrinien
HCS3060,Pregnancy, Birth & Infant Care,Pregnancy/InfantCare,Grossesse, naissance et soins aux nourrissons,Grossesse/nourrissons
