SECTION_ID,SECTION_CREDITS,SECTION_DELIVERY_SCHEDULE,SECTION_DESCRIPTION,SECTION_START_DATE,SECTION_END_DATE,SECTION_LANGUAGE,SECTION_REFID,SECTION_SCHOOL_CODE,SECTION_SCHOOL_YEAR,SECTION_TERM,SECTION_COURSE_CODE
1583778,1,REG,FAS3080.2 - Cultural Fashions,03-FEB-23,27-JUN-23,EN,fd37f8a6-dd83-4dc0-b79c-2ae9acd28613,1101,2023,Semester2,FAS3080
1583782,1,REG,REC1040.2 - Foundations for Training 1,03-FEB-23,27-JUN-23,EN,1d65ed5c-1531-4ba5-92b6-098e2c0a91f6,0590,2023,Semester2,REC1040
1583785,1,REG,MEC2060.1 - Ignition Systems,24-JAN-22,30-JAN-22,EN,30c5b291-2302-476d-bf6b-2022080fc8f4,1306,2022,Semester1,MEC2060
1583786,1,REG,FAB1050.1 - Basic Electric Welding,24-JAN-22,30-JAN-22,EN,d1a37df6-ab26-4552-b187-cddf22c68845,1306,2022,Semester1,FAB1050
1583798,1,REG,CON1120.2 - Product Management,25-JAN-22,30-JAN-22,EN,fb4c23c9-3f23-421b-a500-d1d9833cbdb8,1306,2022,Quarter2,CON1120
1583814,5,REG,ELA1105.CH - English Language Arts 10-1,08-FEB-22,30-JAN-22,EN,787565b4-d7fc-4432-9d99-7c2affbc4483,1101,2022,Semester1,ELA1105
1583815,1,REG,CON1010.2 - Construction Tools & Materials,07-FEB-23,27-JUN-23,EN,b3f762fa-549b-45d4-b10d-173a2ee27477,1101,2023,Semester2,CON1010
1583821,10,REG,OTH1998V.1 - Work Experience 15 (Variable Credit),27-JAN-22,30-JAN-22,EN,e32e9fa2-e9c1-4e86-a32f-d378c1c55a5e,1101,2022,Semester1,OTH1998
1583822,10,REG,OTH2998V.1 - Work Experience 25 (Variable Credit),27-JAN-22,30-JAN-22,EN,6b8c97e3-6d56-4454-b936-5816aa342e84,1101,2022,Semester1,OTH2998
1583829,1,REG,HSA3900.2 - Apprenticeship Safety (Hairstylist),07-FEB-23,27-JUN-23,EN,b0edd9b4-f93f-4e15-b5fc-ee973ee7d294,0590,2023,Semester2,HSA3900
1582844,1,REG,REC2020.1 - Injury Management 2,21-SEP-22,30-JAN-23,EN,2bca2437-3f7d-4cb5-a634-c8771473430f,1101,2023,Semester1,REC2020
1582942,5,REG,MAT1793.5 - Mathematics 10-3,06-OCT-22,30-JAN-23,EN,2c772328-cf5a-4a71-8925-0574f10778a7,1108,2023,Semester1,MAT1793
1582945,1,REG,HSS1010.1 - Health Services Foundations,07-OCT-22,30-JAN-23,EN,d09cd685-7e9e-4f2d-9031-dc1bca45fe59,1108,2023,Semester1,HSS1010
1582946,1,REG,REC2010.1 - Nutrition for Recreation Activities &,07-OCT-22,30-JAN-23,EN,100d6418-1f94-43ac-8a8f-8dceda4883b4,1108,2023,Semester1,REC2010
1583004,5,REG,RAP2988.3 - Heavy Equipment Technician 25A,27-OCT-21,28-JUN-22,EN,3d8ab706-b71e-49d7-8919-385f136dad65,0590,2022,FullYear,RAP2988
1583014,1,REG,PEN3038.CDcr - In-Plant Water Treatment,27-OCT-21,28-JUN-22,EN,350525f6-0779-4732-8502-9ef1624bd5de,0590,2022,FullYear,PEN3038
1583091,5,REG,RAP1992.1 - Auto Body Technician 15,29-NOV-22,30-JAN-23,EN,9907ee91-4d5b-4e85-86a6-53b18feb6b47,1101,2023,Semester1,RAP1992
1583191,1,REG,HCS3040.1 - Child Care First Aid,09-NOV-22,30-JAN-23,EN,3a01d991-efad-4dc6-886c-1ac5097d1499,0590,2023,Semester1,HCS3040
1583232,1,REG,COS2010.3 - Long Hair Design 2,08-NOV-21,30-JAN-22,EN,b3163087-3aa6-4723-8aca-aaea950ed113,1101,2022,Quarter2,COS2010
1583252,5,REG,RAP2663.1 - Welder 25A,18-NOV-22,30-JAN-23,EN,2864e917-22fb-4471-9097-0862f16c0282,1101,2023,Semester1,RAP2663
1583266,5,REG,RAP2989.2 - Heavy Equipment Technician 25B,22-NOV-22,27-JUN-23,EN,07545b18-cd2b-425e-a357-16a56c66c86c,1108,2023,FullYear,RAP2989
1583271,1,REG,HCS2060.C - Endocrine System,23-NOV-22,27-JUN-23,EN,962d6d85-5947-4759-9f76-4ebb24449627,0590,2023,FullYear,HCS2060
1583280,10,REG,OTH3998V.3 - Work Experience 35 (Variable Credit),16-NOV-21,28-JUN-22,EN,7392a4ca-a940-4234-8e06-09d79b63e769,0590,2022,FullYear,OTH3998
1583282,1,REG,CON2035.2 - Framing Systems - Floor,16-NOV-21,30-JAN-22,EN,5e1f6d66-2965-4696-81f9-5968f50a963a,1101,2022,Quarter2,CON2035
1583283,1,REG,REC3140.LV1 - Sport & Society,25-NOV-22,27-JUN-23,EN,a415a719-94d4-4c20-9730-74ddccf64ea9,2239,2023,FullYear,REC3140
1583293,10,REG,OTH2998V.3 - Work Experience 25 (Variable Credit),28-NOV-22,27-JUN-23,EN,4866fce1-ae66-475c-8af1-f4094c94f065,0590,2023,FullYear,OTH2998
1583309,1,REG,DES1010.1 - Sketch, Draw & Model,28-NOV-22,30-JAN-23,EN,b3f2967f-2bdd-46b3-bb43-3dde91a0bf01,1303,2023,Semester1,DES1010
1583311,1,REG,REC1050.13 - Sport Psychology 1,17-NOV-21,30-JAN-22,EN,fc506df0-d1f1-4c41-9ad7-9bc82763b4db,1101,2022,Quarter2,REC1050
1583361,1,REG,HCS3010.22 - Workplace Safety Practices,22-NOV-21,30-JAN-22,EN,f56305e2-0b49-4f43-bf37-0774b909c784,1101,2022,Quarter2,HCS3010
1583362,1,REG,AGR3000.22 - Agriculture Safety,22-NOV-21,30-JAN-22,EN,63770788-60ed-420d-9ff0-755635cc9335,1101,2022,Quarter2,AGR3000
1583363,1,REG,LGS3070.2 - Landmark Decisions,22-NOV-21,30-JAN-22,EN,3c61c954-642a-4211-8c23-76a28651b787,1101,2022,Quarter2,LGS3070
1583364,1,REG,EST1070.1 - Manicuring 1,22-NOV-21,30-JAN-22,EN,1725a476-bd62-4a9c-aec3-0de382787c73,0590,2022,Semester1,EST1070
1583442,1,REG,CON2160.2 - Cabinetmaking - Web & Face Frame,03-DEC-21,30-JAN-22,EN,6d759ad5-8445-4aa6-97b1-130a728a1a51,1101,2022,Quarter2,CON2160
